day,time_h,product_class,location,equipment,input,store_key,level,capacity,fill_pct
176,4200,GBFS,Import,GBFS_STORE,GBFS,GBFS|Import|GBFS_STORE|GBFS,999999.0,999999.0,1.0
176,4200,GBFS,Port Kembla,GBFS_STORE,GBFS,GBFS|Port Kembla|GBFS_STORE|GBFS,24345.67151675299,50000.0,0.4869134303350598
176,4200,GP,Albury,GP_STORE,GP,GP|Albury|GP_STORE|GP,21134.83967302914,99999.0,0.21135051023539375
176,4200,GP,Bulwer Island,GP_STORE,GP,GP|Bulwer Island|GP_STORE|GP,15.546588827838832,30000.0,0.0005182196275946277
176,4200,GP,Clyde,GP_STORE,GP,GP|Clyde|GP_STORE|GP,38.903846153846175,3000.0,0.012967948717948725
176,4200,GP,Devonport,GP_STORE,GP,GP|Devonport|GP_STORE|GP,24996.380235377528,25000.0,0.9998552094151011
176,4200,GP,Gladstone,GP_STORE,GP,GP|Gladstone|GP_STORE|GP,14485.564868187892,30000.0,0.4828521622729297
176,4200,GP,Mackay,GP_STORE,GP,GP|Mackay|GP_STORE|GP,16210.568045249851,99999.0,0.16210730152551375
176,4200,GP,Melbourne,GP_STORE,GP,GP|Melbourne|GP_STORE|GP,0.0,35000.0,0.0
176,4200,GP,Newcastle,GP_STORE,GP,GP|Newcastle|GP_STORE|GP,0.0,25000.0,0.0
176,4200,GP,Osborn,GP_STORE,GP,GP|Osborn|GP_STORE|GP,0.0,14500.0,0.0
176,4200,GP,Port Kembla,GP_STORE,GP,GP|Port Kembla|GP_STORE|GP,29819.22235240683,30000.0,0.993974078413561
176,4200,GP,Railton,GP_STORE_Q,GP,GP|Railton|GP_STORE_Q|GP,1463.9581601036498,1500.0,0.9759721067357665
176,4200,GP,Railton,GP_STORE_ST,GP,GP|Railton|GP_STORE_ST|GP,3559.9680094557816,3600.0,0.988880002626606
176,4200,GP,Townsville,GP_STORE,GP,GP|Townsville|GP_STORE|GP,0.0,30000.0,0.0
176,4200,GP,Wagga,GP_STORE,GP,GP|Wagga|GP_STORE|GP,25502.693522685753,99999.0,0.25502948552171273
